title,subtitle,description,discount,old_price,new_price,date,images,category
lupilu®,"Baby Bodies, 5 Stück, kurzarm, reine Bio-Baumwolle","{""Farben"": ""marine/blau/weiß, mint/weiß/gelb/beige"", ""Merkmale"": ""mit Schlupfkragen""}",N/A,N/A,14.99,2025-04-15 13:13:00,"{""images"": [""https://www.lidl.de/assets/gcp858426fa5ff84e66b9423803420fc640.jpeg""]}",Baby & Kind
lupilu®,"Baby Bodies, langarm, 5 Stück, aus reiner Bio-Baumwolle","{""Farben"": ""mint/weiß/gelb/beige, marine/blau/hellblau/weiß"", ""Merkmal"": ""mit Schlupfkragen und Schrittknöpfung""}",N/A,N/A,14.99,2025-04-15 13:13:00,"{""images"": [""https://www.lidl.de/assets/gcp4a599f2d5960450988ba787b844ca12f.jpeg""]}",Baby & Kind
lupilu®,"Baby Bodies, 5 Stück, kurzarm, aus reiner Bio-Baumwolle","{""Farben"": ""altrosa/rosa//grau/weiß & grau/gelb/mint"", ""Merkmale"": ""mit Schlupfkragen""}",N/A,N/A,14.99,2025-04-15 13:13:00,"{""images"": [""https://www.lidl.de/assets/gcp81823a2698694051b24e2fcec80e8436.jpeg"", ""https://www.lidl.de/assets/gcp8211605c7a364e12ad13b5ffe4dd31d1.jpeg"", ""https://www.lidl.de/assets/gcp81823a2698694051b24e2fcec80e8436.jpeg"", ""https://www.lidl.de/assets/gcp8211605c7a364e12ad13b5ffe4dd31d1.jpeg"", ""https://www.lidl.de/assets/gcp81823a2698694051b24e2fcec80e8436.jpeg"", ""https://www.lidl.de/assets/gcp8211605c7a364e12ad13b5ffe4dd31d1.jpeg""]}",Baby & Kind
lupilu®,"Baby Bodies, 5 Stück, kurzarm, aus reiner Bio-Baumwolle","{""Farben"": ""hellgrün/dunkelgrün/gelb/weiß, marine/blau/weiß, weiß/gelb/rot/pink/marine"", ""Merkmale"": ""Schlupfkragen und Schrittknöpfung""}",N/A,N/A,14.99,2025-04-15 13:13:00,"{""images"": [""https://www.lidl.de/assets/gcp9d9813727a5841c9bd85902589b1c52d.jpeg""]}",Baby & Kind
lupilu®,"Baby Bodies, 2er Set, aus Bio-Baumwolle","{""Farben"": ""blau/creme, Ringel/navy & rot/grau"", ""Merkmale"": ""mit Schlupfkragen"", ""Besonderheiten"": ""mit Schrittknöpfung""}",N/A,N/A,4.99,2025-04-15 13:13:00,"{""images"": [""https://www.lidl.de/assets/gcp54cf5947c54e480795ebf1ca5949a106.jpeg""]}",Baby & Kind
lupilu®,"Baby Bodies, 2 Stück, aus reiner Bio-Baumwolle","{""Farben"": ""creme/navy, rot & pink""}",N/A,N/A,4.99,2025-04-15 13:13:00,"{""images"": [""https://www.lidl.de/assets/f0b56f31052be65797d6c01837741e97.jpeg""]}",Baby & Kind
lupilu®,"Baby Bodies, 5 Stück, aus reiner Bio-Baumwolle","{""Farben"": ""grau/gelb/mint/weiß & altrosa/weiß/rosa/blau"", ""Merkmale"": ""mit Schlupfkragen und Schrittknöpfung""}",N/A,N/A,16.99,2025-04-15 13:13:00,"{""images"": [""https://www.lidl.de/assets/gcp997a848518ed4e10a5b3a2fde84d199f.jpeg""]}",Baby & Kind
lupilu®,"Baby Bodies, 3 Stück, aus reiner Baumwolle","{""Farben"": ""Ringel blau/marine/gelb, rot/marine/weiß, weiß/blau/hellblau"", ""Merkmal"": ""mit Schrittknöpfung""}",N/A,N/A,9.99,2025-04-15 13:13:00,"{""images"": [""https://www.lidl.de/assets/gcpf584e643a7cc47fe8c3bba7ff7c33454.jpeg""]}",Baby & Kind
lupilu®,"Baby Bodies, 3 Stück, aus reiner Baumwolle","{""Farben"": ""beere/pink/rosa, Ringel weiß/marine/blau, weiß/gelb"", ""Merkmal"": ""mit Schrittknöpfung""}",N/A,N/A,9.99,2025-04-15 13:13:00,"{""images"": [""https://www.lidl.de/assets/gcp81df2e06a73741b7baf17284c8d31b7a.jpeg""]}",Baby & Kind
lupilu®,"Baby Body, 2 Stück, aus reiner Bio-Baumwolle","{""Farben"": ""weiß/blau & Ringel braun"", ""Merkmal"": ""natürlicher Tragekomfort"", ""Besonderheiten"": ""EcoPrint - 100% ökologischer Textildruck""}",N/A,N/A,4.99,2025-04-15 13:13:00,"{""images"": [""https://www.lidl.de/assets/gcp9a9bf8ca3a6845e4a36401246ece79c2.jpeg""]}",Baby & Kind
lupilu®,"Baby Bodies, 2 Stück, aus reiner Bio-Baumwolle","{""Farben"": ""rosa/pink, weiß/blau"", ""Merkmale"": ""mit Schlupfkragen und Schrittknöpfung""}",N/A,N/A,3.99,2025-04-15 13:13:00,"{""images"": [""https://www.lidl.de/assets/gcpe0eb2f103ec740c8a92339e0d5604eaa.jpeg""]}",Baby & Kind
lupilu®,"Baby Bodies, 2 Stück, aus reiner Bio-Baumwolle","{""Farben"": ""weiß/blau, gelb/grau, türkis/navy"", ""Merkmal"": ""leichte Mesh-Qualität"", ""Besonderheiten"": ""super weich und atmungsaktiv""}",N/A,N/A,3.99,2025-04-15 13:13:00,"{""images"": [""https://www.lidl.de/assets/gcpa810ff9f17e649fca8d98ccd5c223a10.jpeg""]}",Baby & Kind
lupilu®,"Baby Body, 2 Stück, in leichter Mesh-Qualität","{""Farben"": ""pink/weiß, gelb, rosa/mint"", ""Merkmal"": ""leichte Mesh-Qualität""}",N/A,N/A,4.99,2025-04-15 13:13:00,"{""images"": [""https://www.lidl.de/assets/gcp78192a7799c44154a5c351ef4a894e9c.jpeg""]}",Baby & Kind
