
title,subtitle,description,discount,old_price,new_price,date,images,category
SILVERCREST®,Internetradio »SIRD 14 E1«,"{""Audio-Ausgangsleistung"": ""2 x 7 W RMS"", ""Maße"": ""ca. B 29 x H 12,5 x T 14,5 cm""}",-20%,N/A,79.99,2025-04-16 12:27:48,"{""images"": [""https://www.lidl.de/assets/0f80dda61074bdff12aef5a6d1680d83.jpeg"", ""https://www.lidl.de/assets/75ed516cf1611f46034723b650a2a25c.jpeg"", ""https://www.lidl.de/assets/52be0578e58e3dcedabfcc104a11a2bb.jpeg"", ""https://www.lidl.de/assets/0f80dda61074bdff12aef5a6d1680d83.jpeg"", ""https://www.lidl.de/assets/75ed516cf1611f46034723b650a2a25c.jpeg"", ""https://www.lidl.de/assets/52be0578e58e3dcedabfcc104a11a2bb.jpeg"", ""https://www.lidl.de/assets/0f80dda61074bdff12aef5a6d1680d83.jpeg"", ""https://www.lidl.de/assets/75ed516cf1611f46034723b650a2a25c.jpeg"", ""https://www.lidl.de/assets/52be0578e58e3dcedabfcc104a11a2bb.jpeg""]}",Multimedia
SILVERCREST®,"Soundtower, Bluetooth, 2x 15 Watt »SSTB 30 A1«","{""Leistung"": ""2x 15 Watt"", ""Bluetooth®-Reichweite"": ""bis zu 10 m"", ""Merkmal"": ""getrennte Bass- und Höhenregelung""}",N/A,N/A,74.99,2025-04-16 12:27:48,"{""images"": [""https://www.lidl.de/assets/gcp50404357e6b443ba9cea3a1edb1b501e.jpeg"", ""https://www.lidl.de/assets/gcpa007034a41cb4cc7afcc6155849a6f28.jpeg"", ""https://www.lidl.de/assets/gcpa74d52d53a5046b8aa6cdb0e85d90ecf.jpeg"", ""https://www.lidl.de/assets/gcp50404357e6b443ba9cea3a1edb1b501e.jpeg"", ""https://www.lidl.de/assets/gcpa007034a41cb4cc7afcc6155849a6f28.jpeg"", ""https://www.lidl.de/assets/gcpa74d52d53a5046b8aa6cdb0e85d90ecf.jpeg"", ""https://www.lidl.de/assets/gcp50404357e6b443ba9cea3a1edb1b501e.jpeg"", ""https://www.lidl.de/assets/gcpa007034a41cb4cc7afcc6155849a6f28.jpeg"", ""https://www.lidl.de/assets/gcpa74d52d53a5046b8aa6cdb0e85d90ecf.jpeg""]}",Multimedia
SAMSUNG,Fernseher Crystal 4K UHD »CU6979« Smart TV,"{""Bildschirmgröße"": "": 43 Zoll (108 cm), 50 Zoll (125 cm), 55 Zoll (138 cm), 65 Zoll (163 cm)"", ""Auflösung"": "": 4K UHD""}",-34%,N/A,329.00,2025-04-16 12:27:48,"{""images"": [""https://www.lidl.de/assets/gcpd24cd8e2f26c4828909948a7184d1ad6.jpeg""]}",Multimedia
Hisense,"Fernseher »A6N« 4K UHD SmartTV, Triple Tuner","{""Bildschirmgröße"": "": 43, 55, 65, 75 Zoll"", ""Auflösung"": "": Ultra HD 3840 × 2160""}",-34%,N/A,521.18,2025-04-16 12:27:48,"{""images"": [""https://www.lidl.de/assets/gcpa3db57bcb39c4777a75292889ca7fc75.jpeg""]}",Multimedia
SILVERCREST®,"Kofferplattenspieler, mit Bluetooth® und USB-Aufnahme","{""Produkttyp"": "": Kofferplattenspieler"", ""Antrieb"": "": Riemenantrieb""}",N/A,N/A,59.99,2025-04-16 12:27:48,"{""images"": [""https://www.lidl.de/assets/gcp926e963081d44ef3a33a98bfb8ad774a.jpg"", ""https://www.lidl.de/assets/gcpb49a0feaec994ea2ac42efefa556ef06.jpg"", ""https://www.lidl.de/assets/gcpdbef4019bfde4d43b03bb7caa97b26f9.jpg"", ""https://www.lidl.de/assets/gcp926e963081d44ef3a33a98bfb8ad774a.jpg"", ""https://www.lidl.de/assets/gcpb49a0feaec994ea2ac42efefa556ef06.jpg"", ""https://www.lidl.de/assets/gcpdbef4019bfde4d43b03bb7caa97b26f9.jpg"", ""https://www.lidl.de/assets/gcp926e963081d44ef3a33a98bfb8ad774a.jpg"", ""https://www.lidl.de/assets/gcpb49a0feaec994ea2ac42efefa556ef06.jpg"", ""https://www.lidl.de/assets/gcpdbef4019bfde4d43b03bb7caa97b26f9.jpg""]}",Multimedia
AURIOL®,Digitaler Funkwecker LCD,"{""Anzeige"": "": Digital"", ""Stromversorgung"": "": Batterie""}",N/A,N/A,9.99,2025-04-16 12:27:48,"{""images"": [""https://www.lidl.de/assets/gcp63a835bbccbf42099237d26ca5b2ae31.jpg"", ""https://www.lidl.de/assets/gcp0cd3a55e975343f19bac869b213ce7d7.jpg"", ""https://www.lidl.de/assets/gcp9cbea1a5a72941858fa9add7272cc6f2.jpg"", ""https://www.lidl.de/assets/gcp63a835bbccbf42099237d26ca5b2ae31.jpg"", ""https://www.lidl.de/assets/gcp0cd3a55e975343f19bac869b213ce7d7.jpg"", ""https://www.lidl.de/assets/gcp9cbea1a5a72941858fa9add7272cc6f2.jpg"", ""https://www.lidl.de/assets/gcp63a835bbccbf42099237d26ca5b2ae31.jpg"", ""https://www.lidl.de/assets/gcp0cd3a55e975343f19bac869b213ce7d7.jpg"", ""https://www.lidl.de/assets/gcp9cbea1a5a72941858fa9add7272cc6f2.jpg""]}",Multimedia
TOSHIBA,Fernseher »UA5D63DGY« 4K UHD Smart TV (65 Zoll),"{""50 - 65 Zoll Smart TV"": ""4K UHD 3.840 x 2.160 / DVB-T2 / -C / -S2""}",-25%,N/A,520.04,2025-04-16 12:27:48,"{""images"": [""https://www.lidl.de/assets/gcpea4ce5ffd3ba43f19d2c341b413e57fc.jpeg"", ""https://www.lidl.de/assets/gcp654c5d23715f439caf565b80fd9f91d1.jpeg"", ""https://www.lidl.de/assets/gcp77b7e539a1bb492ea41bec72a3bcefde.jpeg"", ""https://www.lidl.de/assets/gcpea4ce5ffd3ba43f19d2c341b413e57fc.jpeg"", ""https://www.lidl.de/assets/gcp654c5d23715f439caf565b80fd9f91d1.jpeg"", ""https://www.lidl.de/assets/gcp77b7e539a1bb492ea41bec72a3bcefde.jpeg"", ""https://www.lidl.de/assets/gcpea4ce5ffd3ba43f19d2c341b413e57fc.jpeg"", ""https://www.lidl.de/assets/gcp654c5d23715f439caf565b80fd9f91d1.jpeg"", ""https://www.lidl.de/assets/gcp77b7e539a1bb492ea41bec72a3bcefde.jpeg""]}",Multimedia
TELEFUNKEN,Fernseher »QUAN900M« QLED Android Smart TV 4K UHD,"{""Bildschirmgröße"": "": 43 Zoll (108 cm), 50 Zoll (126 cm), 55 Zoll (139 cm), 65 Zoll (164 cm)"", ""Auflösung"": "":""}",-32%,N/A,295.04,2025-04-16 12:27:48,"{""images"": [""https://www.lidl.de/assets/gcp1e5327c1c229474cad15441ca42a8a89.jpeg""]}",Multimedia
JVC,Fernseher »LT-VUQ3455« QLED TiVo Smart TV 4K UHD,"{""Bildschirmgröße"": "": 43 Zoll (108 cm), 50 Zoll (126 cm), 55 Zoll (139 cm), 65 Zoll (164 cm)"", ""Auflösung"": "": 4K UHD""}",-36%,N/A,305.04,2025-04-16 12:27:48,"{""images"": [""https://www.lidl.de/assets/gcp4098eed249db402388df95002d6dd6dc.jpeg""]}",Multimedia
TOSHIBA,»UF3F63DAZ« Fernseher Fire TV Smart 4K UHD,"{""Bildschirmgröße"": ""43 Zoll, 50 Zoll, 55 Zoll, 65 Zoll"", ""Auflösung"": "":""}",-33%,N/A,265.04,2025-04-16 12:27:48,"{""images"": [""https://www.lidl.de/assets/gcpba230786a7ac442db6ba97046b2dabdc.jpg""]}",Multimedia
