title,subtitle,description,discount,old_price,new_price,date,images,category
Christopeit Sport,Christopeit Sport Kraftstation »SP 2000«,N/A,N/A,N/A,479.00,2025-04-16 17:28:22,"{""images"": [""https://www.lidl.de/assets/gcp895e978ca4b04de3ac30cde5431971ad.jpeg"", ""https://www.lidl.de/assets/gcpc172d7ed88284acab6ebb0edc144f78e.jpeg"", ""https://www.lidl.de/assets/gcp40ea0cc63c944d07a89aa88e8d01187a.jpeg"", ""https://www.lidl.de/assets/gcp895e978ca4b04de3ac30cde5431971ad.jpeg"", ""https://www.lidl.de/assets/gcpc172d7ed88284acab6ebb0edc144f78e.jpeg"", ""https://www.lidl.de/assets/gcp40ea0cc63c944d07a89aa88e8d01187a.jpeg"", ""https://www.lidl.de/assets/gcp895e978ca4b04de3ac30cde5431971ad.jpeg"", ""https://www.lidl.de/assets/gcpc172d7ed88284acab6ebb0edc144f78e.jpeg"", ""https://www.lidl.de/assets/gcp40ea0cc63c944d07a89aa88e8d01187a.jpeg""]}",Sport & Freizeit
Christopeit Sport,Christopeit Sport Heimtrainer Ergomter »Eco 1000«,N/A,N/A,N/A,399.00,2025-04-16 17:28:22,"{""images"": [""https://www.lidl.de/assets/gcpc91e7003f57844d1bfb888d6cb7be136.jpeg"", ""https://www.lidl.de/assets/gcp6bdeb9118968410eac1c14e0bfabc955.jpeg"", ""https://www.lidl.de/assets/gcp05655b8ef22a4e9f995aa9964821ba2b.jpeg"", ""https://www.lidl.de/assets/gcpc91e7003f57844d1bfb888d6cb7be136.jpeg"", ""https://www.lidl.de/assets/gcp6bdeb9118968410eac1c14e0bfabc955.jpeg"", ""https://www.lidl.de/assets/gcp05655b8ef22a4e9f995aa9964821ba2b.jpeg"", ""https://www.lidl.de/assets/gcpc91e7003f57844d1bfb888d6cb7be136.jpeg"", ""https://www.lidl.de/assets/gcp6bdeb9118968410eac1c14e0bfabc955.jpeg"", ""https://www.lidl.de/assets/gcp05655b8ef22a4e9f995aa9964821ba2b.jpeg""]}",Sport & Freizeit
Playtive,"Kleinkinderplanschbecken, mit weichem Luftpolsterboden und Dach","{""Material"": ""PVC"", ""Maße"": ""Tiger: ca. H 103 x T 102 cm; Seestern: ca. H 76 x T 102 cm""}",N/A,N/A,9.99,2025-04-16 17:28:22,"{""images"": [""https://www.lidl.de/assets/gcp12d6986cdc994b11b47eec3e829ee965.jpeg"", ""https://www.lidl.de/assets/gcp6b344385fb794b518c647be14ed1d7d8.jpeg"", ""https://www.lidl.de/assets/gcpd22522c412134d42ae29d18c685bc175.jpeg"", ""https://www.lidl.de/assets/gcp12d6986cdc994b11b47eec3e829ee965.jpeg"", ""https://www.lidl.de/assets/gcp6b344385fb794b518c647be14ed1d7d8.jpeg"", ""https://www.lidl.de/assets/gcpd22522c412134d42ae29d18c685bc175.jpeg"", ""https://www.lidl.de/assets/gcp12d6986cdc994b11b47eec3e829ee965.jpeg"", ""https://www.lidl.de/assets/gcp6b344385fb794b518c647be14ed1d7d8.jpeg"", ""https://www.lidl.de/assets/gcpd22522c412134d42ae29d18c685bc175.jpeg""]}",Sport & Freizeit
HAMMER,HAMMER Trampolin Cross Jump,N/A,-35%,N/A,129.00,2025-04-16 17:28:22,"{""images"": [""https://www.lidl.de/assets/a7b39443f853fb5777ef1603c83740b9.jpeg"", ""https://www.lidl.de/assets/e8407d8ec6f421744b7830a410ff7bd2.jpeg"", ""https://www.lidl.de/assets/467df588f94b6178560108494d1539ed.jpeg"", ""https://www.lidl.de/assets/a7b39443f853fb5777ef1603c83740b9.jpeg"", ""https://www.lidl.de/assets/e8407d8ec6f421744b7830a410ff7bd2.jpeg"", ""https://www.lidl.de/assets/467df588f94b6178560108494d1539ed.jpeg"", ""https://www.lidl.de/assets/a7b39443f853fb5777ef1603c83740b9.jpeg"", ""https://www.lidl.de/assets/e8407d8ec6f421744b7830a410ff7bd2.jpeg"", ""https://www.lidl.de/assets/467df588f94b6178560108494d1539ed.jpeg""]}",Sport & Freizeit
Bestway,"Bestway Pool »Family Pool«, extra breite Seitenwände, ab 6 Jahren (200x146x48 cm)",N/A,-20%,N/A,23.89,2025-04-16 17:28:22,"{""images"": [""https://www.lidl.de/assets/75beaa5de29e3d4f263d08d0666701b0.jpeg"", ""https://www.lidl.de/assets/200cd9b806be717699bf380ec454039e.jpeg"", ""https://www.lidl.de/assets/5c3a7de8e62f4e9f8c6d4624cc48c101.jpeg"", ""https://www.lidl.de/assets/75beaa5de29e3d4f263d08d0666701b0.jpeg"", ""https://www.lidl.de/assets/200cd9b806be717699bf380ec454039e.jpeg"", ""https://www.lidl.de/assets/5c3a7de8e62f4e9f8c6d4624cc48c101.jpeg"", ""https://www.lidl.de/assets/75beaa5de29e3d4f263d08d0666701b0.jpeg"", ""https://www.lidl.de/assets/200cd9b806be717699bf380ec454039e.jpeg"", ""https://www.lidl.de/assets/5c3a7de8e62f4e9f8c6d4624cc48c101.jpeg""]}",Sport & Freizeit
Schildkröt,Gymnastikball für Körpergrößen von 160-185 cm,"{""Material"": ""Kunststoff"", ""Maße"": ""ca. Ø 55, 65, 75, 85 cm"", ""Belastbarkeit"": ""max. 120 kg""}",-35%,N/A,12.99,2025-04-16 17:28:22,"{""images"": [""https://www.lidl.de/assets/f9520738693e298a295a03aa67a60679.jpeg""]}",Sport & Freizeit
Bestway,"Pool »Steel ProMAX™«, Stahlrahmenpool-Set, Filterpumpe, Sicherheitsleiter 366x100 cm","{""Wasserkapazität (90 %)"": ""ca. 9.150 Liter""}",-16%,N/A,310.04,2025-04-16 17:28:22,"{""images"": [""https://www.lidl.de/assets/05743a50b65913992e40b805611a4d58.jpeg"", ""https://www.lidl.de/assets/224a852d7b3e3f9933b7a75702b1468d.jpeg"", ""https://www.lidl.de/assets/ef3ba7c661f93bdb5aa003274d16e3b3.jpeg"", ""https://www.lidl.de/assets/05743a50b65913992e40b805611a4d58.jpeg"", ""https://www.lidl.de/assets/224a852d7b3e3f9933b7a75702b1468d.jpeg"", ""https://www.lidl.de/assets/ef3ba7c661f93bdb5aa003274d16e3b3.jpeg"", ""https://www.lidl.de/assets/05743a50b65913992e40b805611a4d58.jpeg"", ""https://www.lidl.de/assets/224a852d7b3e3f9933b7a75702b1468d.jpeg"", ""https://www.lidl.de/assets/ef3ba7c661f93bdb5aa003274d16e3b3.jpeg""]}",Sport & Freizeit
CRIVIT,"Funktionsaccessoires, vielseitig einsetzbar","{""Art"": ""Mütze, Schal, Handschuhe"", ""Merkmal"": ""für sie und ihn"", ""Besonderheit"": ""reflektierende Deko-Elemente""}",N/A,N/A,5.99,2025-04-16 17:28:22,"{""images"": [""https://www.lidl.de/assets/gcp43d7c014aca74a91ae9e1ef6dbf4ef72.jpeg"", ""https://www.lidl.de/assets/gcp0aa900b0d9484427bb68a3e919ce250f.jpeg"", ""https://www.lidl.de/assets/gcpd33a692551b24379bbbfd94c5e012e74.jpeg"", ""https://www.lidl.de/assets/gcp43d7c014aca74a91ae9e1ef6dbf4ef72.jpeg"", ""https://www.lidl.de/assets/gcp0aa900b0d9484427bb68a3e919ce250f.jpeg"", ""https://www.lidl.de/assets/gcpd33a692551b24379bbbfd94c5e012e74.jpeg"", ""https://www.lidl.de/assets/gcp43d7c014aca74a91ae9e1ef6dbf4ef72.jpeg"", ""https://www.lidl.de/assets/gcp0aa900b0d9484427bb68a3e919ce250f.jpeg"", ""https://www.lidl.de/assets/gcpd33a692551b24379bbbfd94c5e012e74.jpeg""]}",Sport & Freizeit
Christopeit Sport,Christopeit Sport Walking Laufband »CS 2000«,N/A,N/A,N/A,389.00,2025-04-16 17:28:22,"{""images"": [""https://www.lidl.de/assets/ff6d4d8ad0934e0bf196b628e8a91f11.jpeg"", ""https://www.lidl.de/assets/29e770cd8e20ec5e2127251954fa4fa4.jpeg"", ""https://www.lidl.de/assets/b979c21c8ed5dc9026395f10462e4a38.jpeg"", ""https://www.lidl.de/assets/ff6d4d8ad0934e0bf196b628e8a91f11.jpeg"", ""https://www.lidl.de/assets/29e770cd8e20ec5e2127251954fa4fa4.jpeg"", ""https://www.lidl.de/assets/b979c21c8ed5dc9026395f10462e4a38.jpeg"", ""https://www.lidl.de/assets/ff6d4d8ad0934e0bf196b628e8a91f11.jpeg"", ""https://www.lidl.de/assets/29e770cd8e20ec5e2127251954fa4fa4.jpeg"", ""https://www.lidl.de/assets/b979c21c8ed5dc9026395f10462e4a38.jpeg""]}",Sport & Freizeit
Bestway,"Kinderpool »My First Frame«, 122 x 122 x 30,5 cm","{""Wasserfüllmenge"": ""ca. 365 l"", ""Maße"": ""ca. 122 x 122 x 30,5 cm"", ""Altersempfehlung"": ""ab 2 Jahren""}",-28%,N/A,24.99,2025-04-16 17:28:22,"{""images"": [""https://www.lidl.de/assets/gcp6a8ca921ccba4b6bb1f66096da241c6b.jpeg"", ""https://www.lidl.de/assets/gcp26847f5dd42045eda6a4d598794ed43a.jpeg"", ""https://www.lidl.de/assets/gcp1b41d0f1e91d416e8a167080f7b4e5ce.jpeg"", ""https://www.lidl.de/assets/gcp6a8ca921ccba4b6bb1f66096da241c6b.jpeg"", ""https://www.lidl.de/assets/gcp26847f5dd42045eda6a4d598794ed43a.jpeg"", ""https://www.lidl.de/assets/gcp1b41d0f1e91d416e8a167080f7b4e5ce.jpeg"", ""https://www.lidl.de/assets/gcp6a8ca921ccba4b6bb1f66096da241c6b.jpeg"", ""https://www.lidl.de/assets/gcp26847f5dd42045eda6a4d598794ed43a.jpeg"", ""https://www.lidl.de/assets/gcp1b41d0f1e91d416e8a167080f7b4e5ce.jpeg""]}",Sport & Freizeit
