title,subtitle,description,discount,old_price,new_price,date,images,categorie
LIVARNO home,"Balkon-Set »SEVILLA«, 3-teilig, aus ölgebeiztem Akazienholz","{""Set"": "": 1x Tisch & 2x Stuhl"", ""Merkmal"": "": zusammenklappbar""}",N/A,N/A,119.00,2025-04-11 20:27:03,"{""images"": [""https://www.lidl.de/assets/gcp390ae4baabaf4a9696b093ddbdce988a.jpg"", ""https://www.lidl.de/assets/gcp02bf9494c59641a89f6ae4307569eb2c.jpg"", ""https://www.lidl.de/assets/gcpf8519bbcce4e47d1a2725a3bcb7c20f8.jpg"", ""https://www.lidl.de/assets/gcp390ae4baabaf4a9696b093ddbdce988a.jpg"", ""https://www.lidl.de/assets/gcp02bf9494c59641a89f6ae4307569eb2c.jpg"", ""https://www.lidl.de/assets/gcpf8519bbcce4e47d1a2725a3bcb7c20f8.jpg"", ""https://www.lidl.de/assets/gcp390ae4baabaf4a9696b093ddbdce988a.jpg"", ""https://www.lidl.de/assets/gcp02bf9494c59641a89f6ae4307569eb2c.jpg"", ""https://www.lidl.de/assets/gcpf8519bbcce4e47d1a2725a3bcb7c20f8.jpg""]}",garten & Balkon
LIVARNO home,"Balkon-Set, aus Geflecht, 3-teilig, braun","{""Farbe"": ""braun"", ""Merkmale"": ""abnehmbare Bezüge"", ""Besonderheit"": ""platzsparend zusammenstellbar""}",N/A,N/A,229.00,2025-04-11 20:27:03,"{""images"": [""https://www.lidl.de/assets/gcp39dc9195fb31474a9cd3366a94a289bd.jpeg"", ""https://www.lidl.de/assets/gcp292c75156444419f9264dcea5e2a0e68.jpeg"", ""https://www.lidl.de/assets/gcp567e06895946422d94880c3948c135db.jpeg"", ""https://www.lidl.de/assets/gcp39dc9195fb31474a9cd3366a94a289bd.jpeg"", ""https://www.lidl.de/assets/gcp292c75156444419f9264dcea5e2a0e68.jpeg"", ""https://www.lidl.de/assets/gcp567e06895946422d94880c3948c135db.jpeg"", ""https://www.lidl.de/assets/gcp39dc9195fb31474a9cd3366a94a289bd.jpeg"", ""https://www.lidl.de/assets/gcp292c75156444419f9264dcea5e2a0e68.jpeg"", ""https://www.lidl.de/assets/gcp567e06895946422d94880c3948c135db.jpeg""]}",garten & Balkon
SIENA GARDEN,SIENA GARDEN Balkonset Bari,N/A,-38%,N/A,247.04,2025-04-11 20:27:03,"{""images"": [""https://www.lidl.de/assets/0db6a7760546ea9d4696a25c5c80660b.jpeg"", ""https://www.lidl.de/assets/587c740f14df16830f98b4de86f904b0.jpeg"", ""https://www.lidl.de/assets/64acb9675a5e51af0924f37f866675cc.jpeg"", ""https://www.lidl.de/assets/0db6a7760546ea9d4696a25c5c80660b.jpeg"", ""https://www.lidl.de/assets/587c740f14df16830f98b4de86f904b0.jpeg"", ""https://www.lidl.de/assets/64acb9675a5e51af0924f37f866675cc.jpeg"", ""https://www.lidl.de/assets/0db6a7760546ea9d4696a25c5c80660b.jpeg"", ""https://www.lidl.de/assets/587c740f14df16830f98b4de86f904b0.jpeg"", ""https://www.lidl.de/assets/64acb9675a5e51af0924f37f866675cc.jpeg""]}",garten & Balkon
dobar,"Hochbeet, aus Holz, L 75 x B 37 x H 79 cm","{""Material"": "": Holz"", ""Pflanzvolumen"": "": 50 l"", ""Maße"": "": L 75 x B 37 x H 79 cm""}",-37%,N/A,49.99,2025-04-11 20:27:03,"{""images"": [""https://www.lidl.de/assets/gcp550d33c7ad274d8eb215d914ff6a3534.jpeg"", ""https://www.lidl.de/assets/gcp71d0cbfc843f46e5a4ea6483f3e9b83f.jpeg"", ""https://www.lidl.de/assets/gcp8012e44dc52b44bea540668d5b41b64b.jpeg"", ""https://www.lidl.de/assets/gcp550d33c7ad274d8eb215d914ff6a3534.jpeg"", ""https://www.lidl.de/assets/gcp71d0cbfc843f46e5a4ea6483f3e9b83f.jpeg"", ""https://www.lidl.de/assets/gcp8012e44dc52b44bea540668d5b41b64b.jpeg"", ""https://www.lidl.de/assets/gcp550d33c7ad274d8eb215d914ff6a3534.jpeg"", ""https://www.lidl.de/assets/gcp71d0cbfc843f46e5a4ea6483f3e9b83f.jpeg"", ""https://www.lidl.de/assets/gcp8012e44dc52b44bea540668d5b41b64b.jpeg""]}",garten & Balkon
LIVARNO home,"Balkon-Hängetisch, für den Hausgebrauch","{""Max. Belastung"": "": 20 kg"", ""Merkmal"": "": Witterungsbeständig"", ""Maße"": "": 60 x 40 cm""}",N/A,N/A,17.99,2025-04-11 20:27:03,"{""images"": [""https://www.lidl.de/assets/gcp660d1d0ed5d64202be934842327c4589.jpg"", ""https://www.lidl.de/assets/gcp399e2deb6d684acfb5c7f56f5b6a570e.jpg"", ""https://www.lidl.de/assets/gcp8adc446d5fa04d94adae3efa66154a19.jpg"", ""https://www.lidl.de/assets/gcp660d1d0ed5d64202be934842327c4589.jpg"", ""https://www.lidl.de/assets/gcp399e2deb6d684acfb5c7f56f5b6a570e.jpg"", ""https://www.lidl.de/assets/gcp8adc446d5fa04d94adae3efa66154a19.jpg"", ""https://www.lidl.de/assets/gcp660d1d0ed5d64202be934842327c4589.jpg"", ""https://www.lidl.de/assets/gcp399e2deb6d684acfb5c7f56f5b6a570e.jpg"", ""https://www.lidl.de/assets/gcp8adc446d5fa04d94adae3efa66154a19.jpg""]}",garten & Balkon
KHW,"Hochbeet »Demeter«, Kunststoff, anthrazit","{""Material"": ""recycelter Kunststoff"", ""Maße"": ""verschiedene Größen"", ""Farbe"": ""anthrazit""}",-45%,N/A,59.99,2025-04-11 20:27:03,"{""images"": [""https://www.lidl.de/assets/gcp80ebb8e5e43d4dcb8a72ad2dd258a8cc.jpeg""]}",garten & Balkon
LIVARNO home,"Balkonset, aus Stahl, 3-teilig","{""Set"": ""2x Stuhl, 1x Tisch"", ""Merkmale"": ""witterungs- und UV-beständig"", ""Besonderheit"": ""zusammenschiebbar""}",N/A,N/A,199.00,2025-04-11 20:27:03,"{""images"": [""https://www.lidl.de/assets/gcpaaa5f31459534695bba21971838f661b.jpeg"", ""https://www.lidl.de/assets/gcp4f2b4ff4e7284bdfbd34f958816881af.jpeg"", ""https://www.lidl.de/assets/gcpe5641fb3b01f4343a19e5a87895a187c.jpeg"", ""https://www.lidl.de/assets/gcpaaa5f31459534695bba21971838f661b.jpeg"", ""https://www.lidl.de/assets/gcp4f2b4ff4e7284bdfbd34f958816881af.jpeg"", ""https://www.lidl.de/assets/gcpe5641fb3b01f4343a19e5a87895a187c.jpeg"", ""https://www.lidl.de/assets/gcpaaa5f31459534695bba21971838f661b.jpeg"", ""https://www.lidl.de/assets/gcp4f2b4ff4e7284bdfbd34f958816881af.jpeg"", ""https://www.lidl.de/assets/gcpe5641fb3b01f4343a19e5a87895a187c.jpeg""]}",garten & Balkon
Vitavia,"Vitavia Hochbeet »858 Basic«, geeignet für Garten, witterungsbeständig, gewellt","{""Material"": ""Stahlblech"", ""Volumen"": ""ca. 1.000 Liter"", ""Farben"": ""Aluminium, dunkelgrau, ziegelrot, schwarz""}",N/A,N/A,179.90,2025-04-11 20:27:03,"{""images"": [""https://www.lidl.de/assets/4e030d74f0a44dba98a8642054d3e5bf.jpeg"", ""https://www.lidl.de/assets/30d68ece07d588983ac48ba9e6e047a2.jpeg"", ""https://www.lidl.de/assets/d444596c2b0361f0d797c68c1b4714d5.jpeg"", ""https://www.lidl.de/assets/4e030d74f0a44dba98a8642054d3e5bf.jpeg"", ""https://www.lidl.de/assets/30d68ece07d588983ac48ba9e6e047a2.jpeg"", ""https://www.lidl.de/assets/d444596c2b0361f0d797c68c1b4714d5.jpeg"", ""https://www.lidl.de/assets/4e030d74f0a44dba98a8642054d3e5bf.jpeg"", ""https://www.lidl.de/assets/30d68ece07d588983ac48ba9e6e047a2.jpeg"", ""https://www.lidl.de/assets/d444596c2b0361f0d797c68c1b4714d5.jpeg""]}",garten & Balkon
PARKSIDE®,Mini-Gewächshaus mit Bio-Saatgut,"{""Material"": ""Kokos, Zellulose"", ""Maße"": ""ca. 28,8 x 18,8 x 17 cm""}",N/A,N/A,9.99,2025-04-11 20:27:03,"{""images"": [""https://www.lidl.de/assets/gcp7946066289e349b3a68b03b0e4d614c9.jpg"", ""https://www.lidl.de/assets/gcp343eb20506f54fc28a69d6656dbb7922.jpg"", ""https://www.lidl.de/assets/gcp87892da361d243d38bf4f82d664f0680.jpg"", ""https://www.lidl.de/assets/gcp7946066289e349b3a68b03b0e4d614c9.jpg"", ""https://www.lidl.de/assets/gcp343eb20506f54fc28a69d6656dbb7922.jpg"", ""https://www.lidl.de/assets/gcp87892da361d243d38bf4f82d664f0680.jpg"", ""https://www.lidl.de/assets/gcp7946066289e349b3a68b03b0e4d614c9.jpg"", ""https://www.lidl.de/assets/gcp343eb20506f54fc28a69d6656dbb7922.jpg"", ""https://www.lidl.de/assets/gcp87892da361d243d38bf4f82d664f0680.jpg""]}",garten & Balkon
